 Iter     h_norm         step size         Cost         New_Cost       r_norm     r_new_norm      T_time        Status
    1        2370.32          1e-05       23.667       0.170027      2370.32          207.465   T=3.31727s   ACCEPTED
    2        207.465          1e-05     0.170027     0.00763387      207.465          36.3793   T=3.28386s   ACCEPTED
    3        36.3793          1e-05   0.00763387     0.00127109      36.3793          13.8915   T=3.28538s   ACCEPTED
    4        13.8915          1e-05   0.00127109    0.000223069      13.8915          5.77087   T=3.28262s   ACCEPTED
    5        5.77087          1e-05   0.000223069    4.21284e-05      5.77087          2.49798   T=3.29662s   ACCEPTED
    6        2.49798          1e-05   4.21284e-05    7.82372e-06      2.49798           1.0754   T=3.29884s   ACCEPTED
    7         1.0754          1e-05   7.82372e-06    1.47748e-06       1.0754         0.466653   T=3.27932s   ACCEPTED
    8       0.466653          1e-05   1.47748e-06    2.79995e-07     0.466653         0.202917   T=3.26991s   ACCEPTED
    9       0.202917          1e-05   2.79995e-07    5.35707e-08     0.202917         0.088654   T=3.2936s   ACCEPTED
   10       0.088654          1e-05   5.35707e-08    1.03342e-08     0.088654        0.0388965   T=3.27018s   ACCEPTED
   11      0.0388965          1e-05   1.03342e-08    2.01263e-09    0.0388965        0.0171485   T=3.28072s   ACCEPTED
   12      0.0171485          1e-05   2.01263e-09    3.95791e-10    0.0171485       0.00759799   T=3.28543s   ACCEPTED
   13     0.00759799          1e-05   3.95791e-10    7.86206e-11   0.00759799       0.00338387   T=3.27969s   ACCEPTED
   14     0.00338387          1e-05   7.86206e-11    1.57759e-11   0.00338387       0.00151491   T=3.26312s   ACCEPTED
   15     0.00151491          1e-05   1.57759e-11    3.19734e-12   0.00151491      0.000681708   T=3.2735s   ACCEPTED
